Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
1275,0.0,288.25,288.25,0.0,0.0
1280,0.0,289.6,289.6,0.0,0.0
1285,0.0,290.95,290.95,0.0,0.0
1290,0.0,286.54,286.54,0.0,0.0
1295,0.0,292.48,292.48,0.0,0.0
1300,0.0,294.13,294.13,0.0,0.0
1305,0.0,286.11,286.11,0.0,0.0
1310,0.0,287.2,287.2,0.0,0.0
1315,0.0,290.46,290.46,0.0,0.0
1320,0.0,288.83,288.83,0.0,0.0
1325,0.0,290.52,290.52,0.0,0.0
1330,0.0,289.86,289.86,0.0,0.0
1335,0.0,287.95,287.95,0.0,0.0
1340,0.0,292.58,292.58,0.0,0.0
1345,0.0,290.93,290.93,0.0,0.0
1350,0.0,288.88,288.88,0.0,0.0
1355,0.0,293.01,293.01,0.0,0.0
1360,0.0,288.98,288.98,0.0,0.0
1365,0.0,287.52,287.52,0.0,0.0
1370,0.0,290.37,290.37,0.0,0.0
1375,0.0,290.71,290.71,0.0,0.0
1380,0.0,291.06,291.06,0.0,0.0
1385,0.0,291.39,291.39,0.0,0.0
1390,0.0,291.03,291.03,0.0,0.0
1395,0.0,290.95,290.95,0.0,0.0
1400,0.0,288.85,288.85,0.0,0.0
1405,0.0,288.64,288.64,0.0,0.0
1410,0.0,291.48,291.48,0.0,0.0
1415,0.0,290.49,290.49,0.0,0.0
1420,0.0,291.64,291.64,0.0,0.0
1425,0.0,286.59,286.59,0.0,0.0
1430,0.0,289.0,289.0,0.0,0.0
1435,0.0,293.81,293.81,0.0,0.0
1440,0.0,291.11,291.11,0.0,0.0
1445,0.0,290.59,290.59,0.0,0.0
1450,0.0,291.42,291.42,0.0,0.0
1455,0.0,294.42,294.42,0.0,0.0
1460,0.0,294.0,294.0,0.0,0.0
1465,0.0,286.84,286.84,0.0,0.0
1470,0.0,287.58,287.58,0.0,0.0
1475,0.0,286.77,286.77,0.0,0.0
1480,0.0,288.51,288.51,0.0,0.0
1485,0.0,290.11,290.11,0.0,0.0
1490,0.0,290.48,290.48,0.0,0.0
1495,0.0,286.94,286.94,0.0,0.0
1500,0.0,286.27,286.27,0.0,0.0
1505,0.0,288.47,288.47,0.0,0.0
1510,0.0,291.83,291.83,0.0,0.0
1515,0.0,292.18,292.18,0.0,0.0
1520,0.0,293.41,293.41,0.0,0.0
1525,0.0,289.94,289.94,0.0,0.0
1530,0.0,291.66,291.66,0.0,0.0
1535,0.0,292.02,292.02,0.0,0.0
1540,0.0,289.01,289.01,0.0,0.0
1545,0.0,290.78,290.78,0.0,0.0
1550,0.0,291.32,291.32,0.0,0.0
1555,0.0,288.18,288.18,0.0,0.0
1560,0.0,293.28,293.28,0.0,0.0
1565,0.0,289.92,289.92,0.0,0.0
1570,0.0,290.17,290.17,0.0,0.0
1575,0.0,288.11,288.11,0.0,0.0
1580,0.0,288.44,288.44,0.0,0.0
1585,0.0,285.61,285.61,0.0,0.0
1590,0.0,290.11,290.11,0.0,0.0
1595,0.0,295.01,295.01,0.0,0.0
1600,0.0,287.96,287.96,0.0,0.0
1605,0.0,295.95,295.95,0.0,0.0
1610,0.0,292.83,292.83,0.0,0.0
1615,0.0,289.05,289.05,0.0,0.0
1620,0.0,290.05,290.05,0.0,0.0
1625,0.0,289.73,289.73,0.0,0.0
1630,0.0,293.41,293.41,0.0,0.0
1635,0.0,291.03,291.03,0.0,0.0
1640,0.0,292.36,292.36,0.0,0.0
1645,0.0,290.72,290.72,0.0,0.0
1650,0.0,289.78,289.78,0.0,0.0
1655,0.0,290.65,290.65,0.0,0.0
1660,0.0,289.19,289.19,0.0,0.0
1665,0.0,287.1,287.1,0.0,0.0
1670,0.0,291.63,291.63,0.0,0.0
1675,0.0,287.0,287.0,0.0,0.0
1680,0.0,289.46,289.46,0.0,0.0
1685,0.0,289.12,289.12,0.0,0.0
1690,0.0,291.29,291.29,0.0,0.0
1695,0.0,293.13,293.13,0.0,0.0
1700,0.0,292.41,292.41,0.0,0.0
1705,0.0,291.34,291.34,0.0,0.0
1710,0.0,288.74,288.74,0.0,0.0
1715,0.0,289.63,289.63,0.0,0.0
1720,0.0,289.34,289.34,0.0,0.0
1725,0.0,289.06,289.06,0.0,0.0
1730,0.0,289.2,289.2,0.0,0.0
1735,0.0,289.14,289.14,0.0,0.0
1740,0.0,289.05,289.05,0.0,0.0
1745,0.0,291.9,291.9,0.0,0.0
1750,0.0,287.89,287.89,0.0,0.0
1755,0.0,288.54,288.54,0.0,0.0
1760,0.0,286.83,286.83,0.0,0.0
1765,0.0,292.83,292.83,0.0,0.0
1770,0.0,288.41,288.41,0.0,0.0
1775,0.0,291.32,291.32,0.0,0.0
1780,0.0,290.95,290.95,0.0,0.0
1785,0.0,292.64,292.64,0.0,0.0
1790,0.0,289.58,289.58,0.0,0.0
1795,0.0,288.1,288.1,0.0,0.0
1800,0.0,286.89,286.89,0.0,0.0
1805,21.81,284.43,600.0,0.0,0.0
1810,34.69,290.32,290.32,0.0,0.0
1815,52.02,291.55,600.0,0.0,49.4966
1820,69.32,290.94,399.27,49.4966,31.5874
1825,86.58,286.94,600.0,31.5874,79.6093
1830,103.81,292.08,292.08,79.6093,72.2291
1835,120.99,288.6,600.0,72.2291,128.8346
1840,138.11,288.19,288.19,128.8346,110.9258
1845,155.16,288.56,600.0,110.9258,168.6962
1850,172.14,290.16,290.16,168.6962,151.4114
1855,237.69,287.03,600.0,151.4114,262.8002
1860,258.82,289.93,289.93,262.8002,252.2877
1865,279.83,290.86,600.0,252.2877,315.76
1870,208.48,292.21,292.21,315.76,195.2521
1875,222.85,290.35,600.0,195.2521,248.5277
1880,237.12,287.32,287.32,248.5277,224.874
1885,251.28,290.3,600.0,224.874,281.9731
1890,265.31,287.88,287.88,281.9731,257.9351
1895,279.22,287.76,600.0,257.9351,311.6691
1900,293.0,287.27,287.27,311.6691,289.3271
1905,306.64,286.18,600.0,289.3271,341.4502
1910,320.13,288.87,288.87,341.4502,322.4847
1915,480.99,292.26,600.0,322.4847,553.8563
1920,500.0,294.51,294.51,553.8563,542.3679
1925,518.77,288.85,600.0,542.3679,590.5047
1930,537.3,292.17,292.17,590.5047,581.5358
1935,555.57,289.21,600.0,581.5358,634.1963
1940,475.06,286.7,286.7,634.1963,498.4102
1945,489.74,291.4,600.0,498.4102,562.5252
1950,504.2,290.47,290.47,562.5252,539.281
1955,518.41,293.64,600.0,539.281,600.7641
1960,532.38,286.93,286.93,600.7641,564.9025
1965,659.35,295.59,600.0,564.9025,773.0439
1970,675.59,293.18,293.18,773.0439,746.7734
1975,691.51,289.96,600.0,746.7734,794.2941
1980,707.11,289.4,289.4,794.2941,773.1839
1985,722.36,288.57,600.0,773.1839,826.3095
1990,449.32,290.22,290.22,826.3095,474.773
1995,458.19,289.63,600.0,474.773,521.9501
2000,466.85,291.03,291.03,521.9501,496.6842
2005,475.28,289.41,600.0,496.6842,541.3559
2010,483.49,292.83,292.83,541.3559,519.5732
2015,806.44,290.25,600.0,519.5732,929.2266
2020,819.15,289.49,289.49,929.2266,903.771
2025,831.47,292.05,600.0,903.771,964.9634
2030,843.39,286.75,286.75,964.9634,922.8221
2035,854.91,290.68,600.0,922.8221,987.7299
2040,866.03,290.05,290.05,987.7299,960.2714
2045,876.73,287.18,600.0,960.2714,1000.2242
2050,887.01,286.58,286.58,1000.2242,972.4693
2055,725.06,292.02,600.0,972.4693,840.1188
2060,732.69,291.93,291.93,840.1188,810.3578
2065,739.97,290.35,600.0,810.3578,852.032
2070,746.9,293.43,293.43,852.032,831.6238
2075,753.47,290.88,600.0,831.6238,869.3815
2080,759.68,292.5,292.5,869.3815,843.8114
2085,765.53,290.84,600.0,843.8114,883.4182
2090,771.02,289.45,289.45,883.4182,847.6561
2095,776.14,287.88,600.0,847.6561,886.4676
2100,780.89,288.79,288.79,886.4676,857.0992
2105,785.27,289.49,600.0,857.0992,902.2826
2110,789.27,292.73,292.73,902.2826,879.35
2115,792.9,291.54,600.0,879.35,917.7422
2120,984.81,290.66,290.66,917.7422,1101.1865
2125,988.36,291.74,600.0,1101.1865,1147.8263
2130,991.44,291.05,291.05,1147.8263,1110.5366
2135,836.1,290.52,600.0,1110.5366,964.9077
2140,837.9,287.0,287.0,964.9077,917.3139
2145,839.3,292.28,600.0,917.3139,975.1471
2150,840.3,289.08,289.08,975.1471,927.0183
2155,840.9,292.18,600.0,927.0183,976.5263
2160,841.1,292.37,292.37,976.5263,939.1377
2165,840.9,288.66,600.0,939.1377,963.8773
2170,840.3,291.9,291.9,963.8773,936.5785
